price_response_feature_id,company_id,ticker,event_type,event_id,event_effective_at,event_effective_session,reaction_session,reaction_open_at
51,77,GD,CATALYST,350,2026-08-07T19:58:00+02:00,2026-08-07,2026-08-07,2026-08-07T09:30:00-04:00
52,78,GE,CATALYST,355,2026-08-07T17:08:40+02:00,2026-08-07,2026-08-07,2026-08-07T09:30:00-04:00
54,82,GOLD,CATALYST,368,2026-08-06T15:30:04+02:00,2026-08-06,2026-08-06,2026-08-06T09:30:00-04:00
55,85,HAS,CATALYST,369,2026-08-07T18:15:00+02:00,2026-08-07,2026-08-07,2026-08-07T09:30:00-04:00
56,86,HASI,CATALYST,370,2026-08-07T20:16:32+02:00,2026-08-07,2026-08-07,2026-08-07T09:30:00-04:00
61,93,HUM,CATALYST,392,2026-08-07T17:51:00+02:00,2026-08-07,2026-08-07,2026-08-07T09:30:00-04:00
62,94,HWM,CATALYST,395,2026-08-07T18:45:59+02:00,2026-08-07,2026-08-07,2026-08-07T09:30:00-04:00
63,96,INCY,CATALYST,408,2026-08-06T17:21:00+02:00,2026-08-06,2026-08-06,2026-08-06T09:30:00-04:00
65,100,ITT,CATALYST,411,2026-08-07T17:21:00+02:00,2026-08-07,2026-08-07,2026-08-07T09:30:00-04:00
66,101,JAZZ,CATALYST,420,2026-08-06T17:40:03+02:00,2026-08-06,2026-08-06,2026-08-06T09:30:00-04:00
67,102,JNJ,CATALYST,423,2026-08-07T21:10:35+02:00,2026-08-07,2026-08-07,2026-08-07T09:30:00-04:00
68,103,JPM,CATALYST,440,2026-08-07T17:04:41+02:00,2026-08-07,2026-08-07,2026-08-07T09:30:00-04:00
69,104,KEYS,CATALYST,478,2026-08-07T16:28:00+02:00,2026-08-07,2026-08-07,2026-08-07T09:30:00-04:00
70,108,LECO,CATALYST,487,2026-08-07T17:40:02+02:00,2026-08-07,2026-08-07,2026-08-07T09:30:00-04:00
72,110,LITE,CATALYST,495,2026-08-07T21:09:41+02:00,2026-08-07,2026-08-07,2026-08-07T09:30:00-04:00
73,111,LLY,CATALYST,527,2026-08-07T21:52:31+02:00,2026-08-07,2026-08-07,2026-08-07T09:30:00-04:00
75,113,MAMA,CATALYST,556,2026-08-07T20:22:00+02:00,2026-08-07,2026-08-07,2026-08-07T09:30:00-04:00
77,115,MET,CATALYST,562,2026-08-07T18:48:00+02:00,2026-08-07,2026-08-07,2026-08-07T09:30:00-04:00
80,121,MS,CATALYST,578,2026-08-07T21:30:33+02:00,2026-08-07,2026-08-07,2026-08-07T09:30:00-04:00
83,126,NLY,CATALYST,587,2026-08-07T18:55:00+02:00,2026-08-07,2026-08-07,2026-08-07T09:30:00-04:00
84,127,NPK,CATALYST,589,2026-08-07T20:06:00+02:00,2026-08-07,2026-08-07,2026-08-07T09:30:00-04:00
85,128,NVDA,CATALYST,631,2026-08-07T21:49:27+02:00,2026-08-07,2026-08-07,2026-08-07T09:30:00-04:00
86,129,NVST,CATALYST,638,2026-08-07T17:40:02+02:00,2026-08-07,2026-08-07,2026-08-07T09:30:00-04:00
87,130,NVT,CATALYST,641,2026-08-07T16:57:00+02:00,2026-08-07,2026-08-07,2026-08-07T09:30:00-04:00
90,135,ONTO,CATALYST,646,2026-08-07T18:55:00+02:00,2026-08-07,2026-08-07,2026-08-07T09:30:00-04:00
91,136,OPY,CATALYST,657,2026-08-06T20:36:50+02:00,2026-08-06,2026-08-06,2026-08-06T09:30:00-04:00
92,137,ORI,CATALYST,658,2026-08-06T19:00:00+02:00,2026-08-06,2026-08-06,2026-08-06T09:30:00-04:00
93,138,PEN,CATALYST,659,2026-08-06T20:16:00+02:00,2026-08-06,2026-08-06,2026-08-06T09:30:00-04:00
94,139,PFGC,CATALYST,661,2026-08-07T21:12:01+02:00,2026-08-07,2026-08-07,2026-08-07T09:30:00-04:00
96,144,PRU,CATALYST,664,2026-08-06T19:35:00+02:00,2026-08-06,2026-08-06,2026-08-06T09:30:00-04:00
97,145,PSX,CATALYST,668,2026-08-07T15:45:00+02:00,2026-08-07,2026-08-07,2026-08-07T09:30:00-04:00
100,148,RGA,CATALYST,684,2026-08-07T20:15:00+02:00,2026-08-07,2026-08-07,2026-08-07T09:30:00-04:00
101,149,RL,CATALYST,696,2026-08-07T21:44:15+02:00,2026-08-07,2026-08-07,2026-08-07T09:30:00-04:00
102,150,ROAD,CATALYST,706,2026-08-07T18:04:23+02:00,2026-08-07,2026-08-07,2026-08-07T09:30:00-04:00
104,153,SCHW,CATALYST,714,2026-08-07T21:21:00+02:00,2026-08-07,2026-08-07,2026-08-07T09:30:00-04:00
105,155,SHC,CATALYST,717,2026-08-07T20:10:48+02:00,2026-08-07,2026-08-07,2026-08-07T09:30:00-04:00
106,158,SON,CATALYST,721,2026-08-07T16:20:23+02:00,2026-08-07,2026-08-07,2026-08-07T09:30:00-04:00
107,160,SXI,CATALYST,722,2026-08-06T16:17:55+02:00,2026-08-06,2026-08-06,2026-08-06T09:30:00-04:00
109,164,TEX,CATALYST,727,2026-08-07T18:43:00+02:00,2026-08-07,2026-08-07,2026-08-07T09:30:00-04:00
112,171,UAL,CATALYST,747,2026-08-07T20:08:00+02:00,2026-08-07,2026-08-07,2026-08-07T09:30:00-04:00
115,174,VLO,CATALYST,758,2026-08-07T15:55:00+02:00,2026-08-07,2026-08-07,2026-08-07T09:30:00-04:00
117,183,WES,CATALYST,771,2026-08-07T20:00:01+02:00,2026-08-07,2026-08-07,2026-08-07T09:30:00-04:00
118,185,WST,CATALYST,775,2026-08-07T20:35:00+02:00,2026-08-07,2026-08-07,2026-08-07T09:30:00-04:00
120,187,XOM,CATALYST,781,2026-08-07T19:13:32+02:00,2026-08-07,2026-08-07,2026-08-07T09:30:00-04:00
121,193,ABT,CATALYST,801,2026-08-07T17:40:02+02:00,2026-08-07,2026-08-07,2026-08-07T09:30:00-04:00
123,197,AIT,CATALYST,810,2026-08-07T19:33:00+02:00,2026-08-07,2026-08-07,2026-08-07T09:30:00-04:00
124,200,ALV,CATALYST,812,2026-08-07T21:00:38+02:00,2026-08-07,2026-08-07,2026-08-07T09:30:00-04:00
126,202,AME,CATALYST,816,2026-08-07T16:32:00+02:00,2026-08-07,2026-08-07,2026-08-07T09:30:00-04:00
128,204,AMRX,CATALYST,819,2026-08-07T18:00:05+02:00,2026-08-07,2026-08-07,2026-08-07T09:30:00-04:00
129,206,APA,CATALYST,830,2026-08-07T21:00:01+02:00,2026-08-07,2026-08-07,2026-08-07T09:30:00-04:00
130,208,APD,CATALYST,832,2026-08-07T17:40:03+02:00,2026-08-07,2026-08-07,2026-08-07T09:30:00-04:00
131,209,APO,CATALYST,833,2026-08-07T21:59:23+02:00,2026-08-07,2026-08-07,2026-08-07T09:30:00-04:00
132,211,AS,CATALYST,836,2026-08-07T18:10:02+02:00,2026-08-07,2026-08-07,2026-08-07T09:30:00-04:00
135,217,AWK,CATALYST,846,2026-08-07T18:12:00+02:00,2026-08-07,2026-08-07,2026-08-07T09:30:00-04:00
136,219,BA,CATALYST,850,2026-08-07T21:00:07+02:00,2026-08-07,2026-08-07,2026-08-07T09:30:00-04:00
137,221,BAM,CATALYST,857,2026-08-07T17:40:04+02:00,2026-08-07,2026-08-07,2026-08-07T09:30:00-04:00
138,223,BAX,CATALYST,862,2026-08-07T17:14:43+02:00,2026-08-07,2026-08-07,2026-08-07T09:30:00-04:00
140,227,BCC,CATALYST,865,2026-08-07T18:16:00+02:00,2026-08-07,2026-08-07,2026-08-07T09:30:00-04:00
141,229,BIIB,CATALYST,868,2026-08-07T20:31:00+02:00,2026-08-07,2026-08-07,2026-08-07T09:30:00-04:00
144,234,BKR,CATALYST,874,2026-08-07T19:46:24+02:00,2026-08-07,2026-08-07,2026-08-07T09:30:00-04:00
145,235,BLK,CATALYST,879,2026-08-07T19:49:43+02:00,2026-08-07,2026-08-07,2026-08-07T09:30:00-04:00
146,237,BMRN,CATALYST,887,2026-08-07T17:50:00+02:00,2026-08-07,2026-08-07,2026-08-07T09:30:00-04:00
147,238,BMY,CATALYST,894,2026-08-07T21:00:38+02:00,2026-08-07,2026-08-07,2026-08-07T09:30:00-04:00
149,243,BWA,CATALYST,904,2026-08-07T19:19:05+02:00,2026-08-07,2026-08-07,2026-08-07T09:30:00-04:00
150,244,BX,CATALYST,909,2026-08-07T18:05:00+02:00,2026-08-07,2026-08-07,2026-08-07T09:30:00-04:00
151,245,BXP,CATALYST,912,2026-08-07T20:26:00+02:00,2026-08-07,2026-08-07,2026-08-07T09:30:00-04:00
152,246,BZH,CATALYST,915,2026-08-07T19:55:36+02:00,2026-08-07,2026-08-07,2026-08-07T09:30:00-04:00
153,247,CAH,CATALYST,923,2026-08-07T21:00:38+02:00,2026-08-07,2026-08-07,2026-08-07T09:30:00-04:00
155,249,CART,CATALYST,936,2026-08-07T19:19:58+02:00,2026-08-07,2026-08-07,2026-08-07T09:30:00-04:00
157,251,CBRL,CATALYST,942,2026-08-07T18:29:00+02:00,2026-08-07,2026-08-07,2026-08-07T09:30:00-04:00
158,256,CHEF,CATALYST,946,2026-08-07T19:52:00+02:00,2026-08-07,2026-08-07,2026-08-07T09:30:00-04:00
159,258,CLH,CATALYST,950,2026-08-07T17:58:00+02:00,2026-08-07,2026-08-07,2026-08-07T09:30:00-04:00
160,260,CNC,CATALYST,952,2026-08-07T19:58:00+02:00,2026-08-07,2026-08-07,2026-08-07T09:30:00-04:00
161,262,CNO,CATALYST,953,2026-08-07T18:23:00+02:00,2026-08-07,2026-08-07,2026-08-07T09:30:00-04:00
162,263,COF,CATALYST,955,2026-08-07T20:03:00+02:00,2026-08-07,2026-08-07,2026-08-07T09:30:00-04:00
163,265,COO,CATALYST,957,2026-08-07T20:35:00+02:00,2026-08-07,2026-08-07,2026-08-07T09:30:00-04:00
165,269,CRWD,CATALYST,967,2026-08-07T19:19:58+02:00,2026-08-07,2026-08-07,2026-08-07T09:30:00-04:00
166,270,CSL,CATALYST,976,2026-08-07T17:27:00+02:00,2026-08-07,2026-08-07,2026-08-07T09:30:00-04:00
167,271,CTAS,CATALYST,979,2026-08-07T17:16:18+02:00,2026-08-07,2026-08-07,2026-08-07T09:30:00-04:00
168,273,CWT,CATALYST,981,2026-08-07T18:12:00+02:00,2026-08-07,2026-08-07,2026-08-07T09:30:00-04:00
170,279,DE,CATALYST,987,2026-08-07T20:30:05+02:00,2026-08-07,2026-08-07,2026-08-07T09:30:00-04:00
172,281,DHR,CATALYST,989,2026-08-07T16:49:00+02:00,2026-08-07,2026-08-07,2026-08-07T09:30:00-04:00
174,284,DNLI,CATALYST,1000,2026-08-07T20:31:00+02:00,2026-08-07,2026-08-07,2026-08-07T09:30:00-04:00
175,287,DV,CATALYST,1001,2026-08-07T18:45:38+02:00,2026-08-07,2026-08-07,2026-08-07T09:30:00-04:00
176,289,ECL,CATALYST,1008,2026-08-07T18:01:59+02:00,2026-08-07,2026-08-07,2026-08-07T09:30:00-04:00
177,291,ECPG,CATALYST,1009,2026-08-07T15:40:02+02:00,2026-08-07,2026-08-07,2026-08-07T09:30:00-04:00
178,294,EMN,CATALYST,1012,2026-08-07T18:01:59+02:00,2026-08-07,2026-08-07,2026-08-07T09:30:00-04:00
179,296,ENVA,CATALYST,1013,2026-08-07T20:03:00+02:00,2026-08-07,2026-08-07,2026-08-07T09:30:00-04:00
181,300,ETSY,CATALYST,1019,2026-08-07T16:58:21+02:00,2026-08-07,2026-08-07,2026-08-07T09:30:00-04:00
183,307,FDS,CATALYST,1023,2026-08-07T20:26:00+02:00,2026-08-07,2026-08-07,2026-08-07T09:30:00-04:00
185,311,FOX,CATALYST,1029,2026-08-07T17:37:00+02:00,2026-08-07,2026-08-07,2026-08-07T09:30:00-04:00
186,312,FSS,CATALYST,1031,2026-08-07T15:40:01+02:00,2026-08-07,2026-08-07,2026-08-07T09:30:00-04:00
188,314,FUL,CATALYST,1035,2026-08-07T17:40:03+02:00,2026-08-07,2026-08-07,2026-08-07T09:30:00-04:00
189,315,GEN,CATALYST,1036,2026-08-07T18:03:00+02:00,2026-08-07,2026-08-07,2026-08-07T09:30:00-04:00
190,316,GGG,CATALYST,1040,2026-08-07T17:27:00+02:00,2026-08-07,2026-08-07,2026-08-07T09:30:00-04:00
191,317,GILD,CATALYST,1043,2026-08-07T17:39:57+02:00,2026-08-07,2026-08-07,2026-08-07T09:30:00-04:00
192,318,GL,CATALYST,1045,2026-08-07T16:48:00+02:00,2026-08-07,2026-08-07,2026-08-07T09:30:00-04:00
194,320,GM,CATALYST,1052,2026-08-07T21:00:38+02:00,2026-08-07,2026-08-07,2026-08-07T09:30:00-04:00
195,321,GPC,CATALYST,1057,2026-08-07T16:51:00+02:00,2026-08-07,2026-08-07,2026-08-07T09:30:00-04:00
196,322,GPN,CATALYST,1060,2026-08-07T20:18:03+02:00,2026-08-07,2026-08-07,2026-08-07T09:30:00-04:00
197,325,HD,CATALYST,1064,2026-08-07T19:06:00+02:00,2026-08-07,2026-08-07,2026-08-07T09:30:00-04:00
198,326,HIG,CATALYST,1067,2026-08-07T18:48:00+02:00,2026-08-07,2026-08-07,2026-08-07T09:30:00-04:00
200,329,HP,CATALYST,1071,2026-08-07T20:30:02+02:00,2026-08-07,2026-08-07,2026-08-07T09:30:00-04:00
201,331,HRB,CATALYST,1072,2026-08-07T15:32:00+02:00,2026-08-07,2026-08-07,2026-08-07T09:30:00-04:00
202,332,HRMY,CATALYST,1074,2026-08-07T19:27:00+02:00,2026-08-07,2026-08-07,2026-08-07T09:30:00-04:00
203,334,HTGC,CATALYST,1084,2026-08-07T20:01:00+02:00,2026-08-07,2026-08-07,2026-08-07T09:30:00-04:00
205,336,HUBG,CATALYST,1087,2026-08-07T21:05:00+02:00,2026-08-07,2026-08-07,2026-08-07T09:30:00-04:00
206,339,IEX,CATALYST,1091,2026-08-07T17:34:00+02:00,2026-08-07,2026-08-07,2026-08-07T09:30:00-04:00
207,340,IFF,CATALYST,1093,2026-08-07T18:01:21+02:00,2026-08-07,2026-08-07,2026-08-07T09:30:00-04:00
209,351,ITW,CATALYST,1096,2026-08-07T19:26:00+02:00,2026-08-07,2026-08-07,2026-08-07T09:30:00-04:00
211,355,JEF,CATALYST,1103,2026-08-07T21:10:00+02:00,2026-08-07,2026-08-07,2026-08-07T09:30:00-04:00
213,360,KBH,CATALYST,1120,2026-08-07T19:55:36+02:00,2026-08-07,2026-08-07,2026-08-07T09:30:00-04:00
215,364,KO,CATALYST,1126,2026-08-07T19:22:04+02:00,2026-08-07,2026-08-07,2026-08-07T09:30:00-04:00
216,367,LAMR,CATALYST,1134,2026-08-07T20:24:00+02:00,2026-08-07,2026-08-07,2026-08-07T09:30:00-04:00
217,368,LMT,CATALYST,1150,2026-08-07T20:11:43+02:00,2026-08-07,2026-08-07,2026-08-07T09:30:00-04:00
218,369,LNC,CATALYST,1153,2026-08-07T20:15:00+02:00,2026-08-07,2026-08-07,2026-08-07T09:30:00-04:00
220,372,LYFT,CATALYST,1162,2026-08-07T20:05:00+02:00,2026-08-07,2026-08-07,2026-08-07T09:30:00-04:00
221,374,MA,CATALYST,1171,2026-08-07T21:09:36+02:00,2026-08-07,2026-08-07,2026-08-07T09:30:00-04:00
222,376,MCK,CATALYST,1176,2026-08-07T20:20:00+02:00,2026-08-07,2026-08-07,2026-08-07T09:30:00-04:00
223,377,MD,CATALYST,1181,2026-08-07T17:47:00+02:00,2026-08-07,2026-08-07,2026-08-07T09:30:00-04:00
224,379,MEDP,CATALYST,1183,2026-08-07T17:17:00+02:00,2026-08-07,2026-08-07,2026-08-07T09:30:00-04:00
225,383,MMM,CATALYST,1187,2026-08-07T17:27:00+02:00,2026-08-07,2026-08-07,2026-08-07T09:30:00-04:00
226,385,MPLX,CATALYST,1189,2026-08-07T15:55:00+02:00,2026-08-07,2026-08-07,2026-08-07T09:30:00-04:00
227,386,MRK,CATALYST,1191,2026-08-07T15:52:00+02:00,2026-08-07,2026-08-07,2026-08-07T09:30:00-04:00
228,390,MTH,CATALYST,1197,2026-08-07T19:55:36+02:00,2026-08-07,2026-08-07,2026-08-07T09:30:00-04:00
229,392,MWA,CATALYST,1200,2026-08-07T16:34:00+02:00,2026-08-07,2026-08-07,2026-08-07T09:30:00-04:00
230,396,NGVT,CATALYST,1201,2026-08-07T15:40:03+02:00,2026-08-07,2026-08-07,2026-08-07T09:30:00-04:00
232,400,NTAP,CATALYST,1204,2026-08-07T17:11:55+02:00,2026-08-07,2026-08-07,2026-08-07T09:30:00-04:00
235,406,ORLY,CATALYST,1249,2026-08-07T16:12:56+02:00,2026-08-07,2026-08-07,2026-08-07T09:30:00-04:00
237,409,OXY,CATALYST,1252,2026-08-07T16:00:00+02:00,2026-08-07,2026-08-07,2026-08-07T09:30:00-04:00
238,411,PANW,CATALYST,1259,2026-08-07T20:22:23+02:00,2026-08-07,2026-08-07,2026-08-07T09:30:00-04:00
240,418,PINS,CATALYST,1273,2026-08-07T19:30:58+02:00,2026-08-07,2026-08-07,2026-08-07T09:30:00-04:00
241,421,PPG,CATALYST,1274,2026-08-07T17:28:42+02:00,2026-08-07,2026-08-07,2026-08-07T09:30:00-04:00
243,424,PSA,CATALYST,1276,2026-08-07T18:01:59+02:00,2026-08-07,2026-08-07,2026-08-07T09:30:00-04:00
244,425,PTGX,CATALYST,1279,2026-08-07T18:20:02+02:00,2026-08-07,2026-08-07,2026-08-07T09:30:00-04:00
246,427,QRVO,CATALYST,1288,2026-08-07T16:42:50+02:00,2026-08-07,2026-08-07,2026-08-07T09:30:00-04:00
249,441,RYN,CATALYST,1292,2026-08-07T18:09:00+02:00,2026-08-07,2026-08-07,2026-08-07T09:30:00-04:00
251,444,SARO,CATALYST,1294,2026-08-07T19:30:03+02:00,2026-08-07,2026-08-07,2026-08-07T09:30:00-04:00
252,446,SBUX,CATALYST,1298,2026-08-07T20:37:07+02:00,2026-08-07,2026-08-07,2026-08-07T09:30:00-04:00
253,448,SDRL,CATALYST,1299,2026-08-07T17:16:00+02:00,2026-08-07,2026-08-07,2026-08-07T09:30:00-04:00
254,449,SE,CATALYST,1301,2026-08-07T21:00:38+02:00,2026-08-07,2026-08-07,2026-08-07T09:30:00-04:00
255,456,SKWD,CATALYST,1306,2026-08-07T17:11:55+02:00,2026-08-07,2026-08-07,2026-08-07T09:30:00-04:00
256,458,SLB,CATALYST,1308,2026-08-07T19:44:00+02:00,2026-08-07,2026-08-07,2026-08-07T09:30:00-04:00
257,464,SPB,CATALYST,1309,2026-08-07T17:39:00+02:00,2026-08-07,2026-08-07,2026-08-07T09:30:00-04:00
258,468,STRA,CATALYST,1316,2026-08-07T17:31:00+02:00,2026-08-07,2026-08-07,2026-08-07T09:30:00-04:00
260,472,SYF,CATALYST,1319,2026-08-07T16:16:23+02:00,2026-08-07,2026-08-07,2026-08-07T09:30:00-04:00
261,473,SYY,CATALYST,1322,2026-08-07T17:14:43+02:00,2026-08-07,2026-08-07,2026-08-07T09:30:00-04:00
263,476,TGT,CATALYST,1325,2026-08-07T21:00:38+02:00,2026-08-07,2026-08-07,2026-08-07T09:30:00-04:00
265,479,TOL,CATALYST,1332,2026-08-07T16:30:00+02:00,2026-08-07,2026-08-07,2026-08-07T09:30:00-04:00
266,482,TT,CATALYST,1335,2026-08-07T19:42:00+02:00,2026-08-07,2026-08-07,2026-08-07T09:30:00-04:00
267,485,TTWO,CATALYST,1340,2026-08-07T21:01:41+02:00,2026-08-07,2026-08-07,2026-08-07T09:30:00-04:00
268,170,TXRH,CATALYST,1356,2026-08-07T21:04:19+02:00,2026-08-07,2026-08-07,2026-08-07T09:30:00-04:00
270,488,URBN,CATALYST,1359,2026-08-07T19:09:00+02:00,2026-08-07,2026-08-07,2026-08-07T09:30:00-04:00
271,489,URI,CATALYST,1362,2026-08-07T16:26:00+02:00,2026-08-07,2026-08-07,2026-08-07T09:30:00-04:00
272,490,USPH,CATALYST,1365,2026-08-07T16:05:57+02:00,2026-08-07,2026-08-07,2026-08-07T09:30:00-04:00
273,491,V,CATALYST,1368,2026-08-07T20:18:03+02:00,2026-08-07,2026-08-07,2026-08-07T09:30:00-04:00
274,493,VOYA,CATALYST,1374,2026-08-07T21:59:23+02:00,2026-08-07,2026-08-07,2026-08-07T09:30:00-04:00
275,175,VRTX,CATALYST,1380,2026-08-07T20:20:00+02:00,2026-08-07,2026-08-07,2026-08-07T09:30:00-04:00
278,498,WEX,CATALYST,1390,2026-08-07T15:55:02+02:00,2026-08-07,2026-08-07,2026-08-07T09:30:00-04:00
279,499,WFC,CATALYST,1394,2026-08-07T21:21:00+02:00,2026-08-07,2026-08-07,2026-08-07T09:30:00-04:00
280,503,WTRG,CATALYST,1397,2026-08-07T18:12:00+02:00,2026-08-07,2026-08-07,2026-08-07T09:30:00-04:00
281,504,WY,CATALYST,1401,2026-08-07T18:16:00+02:00,2026-08-07,2026-08-07,2026-08-07T09:30:00-04:00
285,3,AFL,CATALYST,8,2026-08-07T21:01:57+02:00,2026-08-07,2026-08-07,2026-08-07T09:30:00-04:00
286,4,AGNC,CATALYST,18,2026-08-07T18:55:00+02:00,2026-08-07,2026-08-07,2026-08-07T09:30:00-04:00
287,10,AMZN,CATALYST,1413,2026-08-07T21:29:03+02:00,2026-08-07,2026-08-07,2026-08-07T09:30:00-04:00
425,9,AMG,CATALYST,1435,2026-08-10T18:14:57+02:00,2026-08-10,2026-08-10,2026-08-10T09:30:00-04:00
426,13,APH,CATALYST,1438,2026-08-10T16:43:00+02:00,2026-08-10,2026-08-10,2026-08-10T09:30:00-04:00
427,18,AVAH,CATALYST,1440,2026-08-10T17:27:00+02:00,2026-08-10,2026-08-10,2026-08-10T09:30:00-04:00
429,20,AVT,CATALYST,1467,2026-08-10T18:20:02+02:00,2026-08-10,2026-08-10,2026-08-10T09:30:00-04:00
430,21,AWR,CATALYST,1472,2026-08-10T19:34:13+02:00,2026-08-10,2026-08-10,2026-08-10T09:30:00-04:00
431,24,BEN,CATALYST,1473,2026-08-10T19:39:00+02:00,2026-08-10,2026-08-10,2026-08-10T09:30:00-04:00
432,27,BURL,CATALYST,1475,2026-08-10T18:10:01+02:00,2026-08-10,2026-08-10,2026-08-10T09:30:00-04:00
433,33,CCK,CATALYST,1477,2026-08-10T16:34:00+02:00,2026-08-10,2026-08-10,2026-08-10T09:30:00-04:00
434,514,CF,CATALYST,1478,2026-08-10T18:23:33+02:00,2026-08-10,2026-08-10,2026-08-10T09:30:00-04:00
435,35,CHRD,CATALYST,1480,2026-08-10T15:46:00+02:00,2026-08-10,2026-08-10,2026-08-10T09:30:00-04:00
436,36,CLBK,CATALYST,1481,2026-08-10T19:49:22+02:00,2026-08-10,2026-08-10,2026-08-10T09:30:00-04:00
440,46,CR,CATALYST,1490,2026-08-10T15:55:05+02:00,2026-08-10,2026-08-10,2026-08-10T09:30:00-04:00
446,56,DHT,CATALYST,1553,2026-08-10T17:33:22+02:00,2026-08-10,2026-08-10,2026-08-10T09:30:00-04:00
450,61,EME,CATALYST,1563,2026-08-10T19:35:00+02:00,2026-08-10,2026-08-10,2026-08-10T09:30:00-04:00
451,62,ENSG,CATALYST,1565,2026-08-10T17:27:00+02:00,2026-08-10,2026-08-10,2026-08-10T09:30:00-04:00
453,65,ETN,CATALYST,1568,2026-08-10T16:31:30+02:00,2026-08-10,2026-08-10,2026-08-10T09:30:00-04:00
458,77,GD,CATALYST,1584,2026-08-10T17:40:04+02:00,2026-08-10,2026-08-10,2026-08-10T09:30:00-04:00
459,78,GE,CATALYST,1589,2026-08-10T19:17:22+02:00,2026-08-10,2026-08-10,2026-08-10T09:30:00-04:00
460,79,GEO,CATALYST,1592,2026-08-10T19:04:35+02:00,2026-08-10,2026-08-10,2026-08-10T09:30:00-04:00
464,85,HAS,CATALYST,1647,2026-08-10T17:10:00+02:00,2026-08-10,2026-08-10,2026-08-10T09:30:00-04:00
466,88,HCI,CATALYST,1651,2026-08-10T19:57:22+02:00,2026-08-10,2026-08-10,2026-08-10T09:30:00-04:00
467,89,HEI,CATALYST,1652,2026-08-10T16:53:00+02:00,2026-08-10,2026-08-10,2026-08-10T09:30:00-04:00
468,332,HRMY,CATALYST,1655,2026-08-10T17:27:00+02:00,2026-08-10,2026-08-10,2026-08-10T09:30:00-04:00
470,93,HUM,CATALYST,1658,2026-08-10T20:15:00+02:00,2026-08-10,2026-08-10,2026-08-10T09:30:00-04:00
